*test row do not delete*,Department of Unit Tests,TRAIN,,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Unit Tests,TRAIN,,,past,
*test row do not delete*,Department of Unit Tests,TRAIN,,,far_future,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,2_current,
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,5_current,http://art.washington.edu/calendar/
*test row do not delete*,Department of Other Unit Tests,,TRAINR,,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,future_1,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,far_future,
*test row do not delete*,Department of Other Unit Tests,,,UPCOM,past,
*test row do not delete*,Department of Other Unit Tests,,UPCOM2,,future_2,
,BUSINESS ADMINISTRATION                 ,BUS ADMIN (OSCM)        ,,,sea_bus_undergraduate,Yes,
,BUSINESS ADMINISTRATION                 ,,BUS ADMIN (ENTREPRENEUR),,,,
,BUSINESS ADMINISTRATION                 ,,,BUSINESS ADMINISTRATION ,,,
,BUSINESS ADMINISTRATION                 ,,,BUSINESS ADMIN VISITING ,,,
,BUSINESS ADMINISTRATION                 ,,,BUSINESS ADMINISTRATION ,,,
,BUSINESS ADMINISTRATION                 ,,,BUS ADMIN               ,,,
,BUSINESS ADMINISTRATION                 ,,,EXECUTIVE MBA           ,sea_mba_executive,No; fixed 4/2,
,BUSINESS ADMINISTRATION                 ,,,GLOBAL EXECUTIVE MBA    ,sea_gbc,Yes,
,BUSINESS ADMINISTRATION                 ,,,GLOBAL MBA              ,sea_gbc,Yes,
,BUSINESS ADMINISTRATION                 ,,,BUS ADMIN (INFOR SYS)   ,sea_is ,Yes,
,BUSINESS ADMINISTRATION                 ,,,BUS ADMIN (INFOR SYS)   ,sea_is,Yes,
,BUSINESS ADMINISTRATION                 ,,,BUSINESS ADMINISTRATION ,,,
,BUSINESS ADMINISTRATION                 ,,,INFORMATION SYSTEMS     ,sea_msis,Yes,
,BUSINESS ADMINISTRATION                 ,,,ENVIRONMENTAL MANAGEMENT,,,
,BUSINESS ADMINISTRATION                 ,,,"BUSINESS, EVENING (MBA) ",sea_mba_evening,Yes,
,BUSINESS ADMINISTRATION                 ,,,TECHNOLOGY MGMT MBA     ,,,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),BUSINESS ADMIN (BOTHELL),,,bot_business,Yes,
,BUSINESS ADMINISTRATION (BOTHELL CAMPUS),BUS ADMIN:ACCT (BOTHELL),,,bot_business,Yes,
