Title,OLD Fac Code,NEW Building ID,OLD Post URL,OLD Resolved URL,OLD Query String URL,NEW URL,Notes
Softball Performance Center (SBPC),SBPC,975429,https://www.washington.edu/maps/2022/11/03/softball-performance-center/,https://www.washington.edu/maps/#!/SBPC,https://www.washington.edu/maps/?SBPC,https://map.uw.edu/?id=2099#!m/975429?share,
South Campus Center (SOCC),SOCC,975342,https://www.washington.edu/maps/2011/04/28/south-campus-center/,https://www.washington.edu/maps/#!/SOCC,https://www.washington.edu/maps/?SOCC,https://map.uw.edu/?id=2099#!m/975342?share,
South Gatehouse - NE Columbia Road,south-gatehouse-ne-columbia-road,975373,https://www.washington.edu/maps/2011/04/28/gh6/,https://www.washington.edu/maps/#!/south-gatehouse-ne-columbia-road,https://www.washington.edu/maps/?south-gatehouse-ne-columbia-road,https://map.uw.edu/?id=2099#!m/975373?share,
South Lake Union Administration (Slu Building C) (SLC),SLC,,https://www.washington.edu/maps/2011/04/28/south-lake-union-administration-slu-building-c/,https://www.washington.edu/maps/#!/SLC,https://www.washington.edu/maps/?SLC,https://map.uw.edu/,SLU not on the new map
South Lake Union Research A (SLA),SLA,,https://www.washington.edu/maps/2011/04/28/south-lake-union-research-a/,https://www.washington.edu/maps/#!/SLA,https://www.washington.edu/maps/?SLA,https://map.uw.edu/,SLU not on the new map
South Lake Union Research B (SLB),SLB,,https://www.washington.edu/maps/2011/04/28/south-lake-union-research-b/,https://www.washington.edu/maps/#!/SLB,https://www.washington.edu/maps/?SLB,https://map.uw.edu/,SLU not on the new map
Spratlen Hall (MDR),MDR,975419,https://www.washington.edu/maps/2018/09/18/madrona-hall-mdr/,https://www.washington.edu/maps/#!/MDR,https://www.washington.edu/maps/?MDR,https://map.uw.edu/?id=2099#!m/975419?share,
Staff Human Resources Building (SEB),SEB,,https://www.washington.edu/maps/2011/04/28/staff-human-resources-building/,https://www.washington.edu/maps/#!/SEB,https://www.washington.edu/maps/?SEB,https://map.uw.edu/,Not on the new map
Stevens Court A (SCA),SCA,986246,https://www.washington.edu/maps/2011/04/28/stevens-court-a/,https://www.washington.edu/maps/#!/SCA,https://www.washington.edu/maps/?SCA,https://map.uw.edu/?id=2099#!m/986246?share,
Stevens Court B (SCB),SCB,975307,https://www.washington.edu/maps/2011/04/28/stevens-court-b/,https://www.washington.edu/maps/#!/SCB,https://www.washington.edu/maps/?SCB,https://map.uw.edu/?id=2099#!m/975307?share,
Stevens Court C (SCC),SCC,975308,https://www.washington.edu/maps/2011/04/28/stevens-court-c/,https://www.washington.edu/maps/#!/SCC,https://www.washington.edu/maps/?SCC,https://map.uw.edu/?id=2099#!m/975308?share,
Stevens Court D (SCD),SCD,975309,https://www.washington.edu/maps/2011/04/28/stevens-court-d/,https://www.washington.edu/maps/#!/SCD,https://www.washington.edu/maps/?SCD,https://map.uw.edu/?id=2099#!m/975309?share,
Stevens Court H (SCH),SCH,975310,https://www.washington.edu/maps/2017/11/22/stevens-court-h/,https://www.washington.edu/maps/#!/SCH,https://www.washington.edu/maps/?SCH,https://map.uw.edu/?id=2099#!m/975310?share,
Stevens Court J (SCJ),SCJ,974947,https://www.washington.edu/maps/2011/04/28/stevens-court-j/,https://www.washington.edu/maps/#!/SCJ,https://www.washington.edu/maps/?SCJ,https://map.uw.edu/?id=2099#!m/974947?share,
Stevens Court K (SCK),SCK,975312,https://www.washington.edu/maps/2011/04/28/stevens-court-k/,https://www.washington.edu/maps/#!/SCK,https://www.washington.edu/maps/?SCK,https://map.uw.edu/?id=2099#!m/975312?share,
Stevens Court L (SCL),SCL,975313,https://www.washington.edu/maps/2011/04/28/stevens-court-l/,https://www.washington.edu/maps/#!/SCL,https://www.washington.edu/maps/?SCL,https://map.uw.edu/?id=2099#!m/975313?share,
Stevens Court M (SCM),SCM,975353,https://www.washington.edu/maps/2011/04/28/stevens-court-m/,https://www.washington.edu/maps/#!/SCM,https://www.washington.edu/maps/?SCM,https://map.uw.edu/?id=2099#!m/975353?share,
Suzzallo Library (SUZ),SUZ,975267,https://www.washington.edu/maps/2011/04/28/suzzallo-library/,https://www.washington.edu/maps/#!/SUZ,https://www.washington.edu/maps/?SUZ,https://map.uw.edu/?id=2099#!m/975267?share,
SW Maintenance Bldg (SWMB),SWMB,1028842,https://www.washington.edu/maps/2011/04/28/sw-maintenance-bldg/,https://www.washington.edu/maps/#!/SWMB,https://www.washington.edu/maps/?SWMB,https://map.uw.edu/?id=2099#!m/1028842?share,Associated Fac Code(s): URC
Terry Hall (TER),TER,975405,https://www.washington.edu/maps/2011/04/28/terry-hall/,https://www.washington.edu/maps/#!/TER,https://www.washington.edu/maps/?TER,https://map.uw.edu/?id=2099#!m/975405?share,
The Haring Center for Inclusive Education,the-haring-center-for-inclusive-education,973240,https://www.washington.edu/maps/2011/04/28/center-on-human-development-and-disability-school/,https://www.washington.edu/maps/#!/the-haring-center-for-inclusive-education,https://www.washington.edu/maps/?the-haring-center-for-inclusive-education,https://map.uw.edu/?id=2099#!m/973240?share,Associated Fac Code(s): CHSC
