Category,Subcategory,affiliation,Central (not campus specific),Central Title,Seattle,Seattle (link text),Bothell (destination URL),Bothell (link text),Tacoma,Tacoma Title,Open in a new tab?
Campus Life,Support Services,all,http://depts.washington.edu/slsuw/,Student Legal Services,,,,,,,no
Employment,Employment Resources,all,,,http://careers.uw.edu/,Career & Internship Center,http://www.bothell.washington.edu/careers,Career Services,http://www.tacoma.uw.edu/career-development/career-development-education,Career Development,no
Employment,Employment Resources,all,https://wd5.myworkday.com/uw/d/home.htmld,Workday,,,,,,,no
Employment,Employment Resources,all,https://prp.admin.uw.edu/legacyess,Legacy ESS,,,,,,,no
Employment,Employment Resources,all,https://careers.uw.edu/jobs,Career & Internship Center - Job Postings,,,,,,,no
Employment,Employment Resources,all,https://uw.joinhandshake.com/,Handshake,,,,,,,no
Employment,Employment Resources,all,http://www.lib.washington.edu/about/employment/students,Student Employment in the Libraries,,,,,,,no
Employment,Employment Resources,all,http://isc.uw.edu,Integrated Service Center (ISC),,,,,,,no
Employment,Employment Resources,all,http://hr.uw.edu/jobs/,Employment at UW,,,,,,,no
Events and Activities,Events,all,,,http://www.washington.edu/calendar/,Campus Event Calendar,https://www.uwb.edu/calendar,Campus Event Calendar,http://www.tacoma.uw.edu/calendar/calendar,Campus Event Calendar,no
Events and Activities,Events,all,,,https://hub.washington.edu/hub-events/event-calendars/,HUB Events,https://www.uwb.edu/sea/events,Student Engagement & Activities Events,,,no
Events and Activities,Events,all,http://gohuskies.com/,Husky Sports,,,,,,,no
Events and Activities,Stay Connected,all,,,http://www.washington.edu/news/,Campus News,http://www.uwb.edu/news,Campus News,http://www.tacoma.uw.edu/news/news-information,Campus News,no
Events and Activities,Stay Connected,all,,,http://www.facebook.com/UofWA,UW Facebook Page,http://www.facebook.com/uwbothell,UW Bothell Facebook Page,http://www.facebook.com/uwtacoma,UW Tacoma Facebook Page,no
Events and Activities,Stay Connected,all,,,http://www.youtube.com/user/uwhuskies,UW YouTube Channel,http://www.youtube.com/user/uwbothell,UW Bothell YouTube Channel,http://www.youtube.com/user/uwTacomaAdvancement,UW Tacoma YouTube Channel,no
Events and Activities,Stay Connected,all,,,http://instagram.com/uofwa,UW Instagram,http://instagram.com/UW_BOTHELL,UW Bothell Instagram,https://www.instagram.com/uwtacoma,UW Tacoma Instagram,no
Events and Activities,Stay Connected,all,,,http://twitter.com/UW,UW Twitter,http://twitter.com/UWBothell,UW Bothell Twitter,https://twitter.com/uwtacoma,UW Tacoma Twitter,no
Events and Activities,Stay Connected,all,,,http://www.linkedin.com/company/university-of-washington,UW LinkedIn,https://www.linkedin.com/groups/University-Washington-Bothell-92858?home=&gid=92858,UW Bothell LinkedIn,https://www.linkedin.com/school/university-of-washington-tacoma/,UW Tacoma LinkedIn,no
Events and Activities,Student Clubs and Organizations,all,,,https://uws-community.symplicity.com/?s=student_group,Registered Student Organizations (RSO) Directory,http://www.bothell.washington.edu/sea/clubs/join,Club Directory,https://dawgden.tacoma.uw.edu/Organizations,UW Tacoma Clubs and Organizations,no
Libraries,Library Resources,all,,,http://lib.washington.edu/,UW Libraries,http://library.uwb.edu/,UW Bothell Library,http://www.tacoma.uw.edu/library,UW Tacoma Library,no
Libraries,Library Resources,all,http://search.lib.uw.edu/account,Your Library Account,,,,,,,no
Libraries,Library Resources,all,http://guides.lib.uw.edu/az.php,Articles and Research Databases,,,,,,,no
Libraries,Library Resources,all,http://guides.lib.uw.edu/research/ejournals,Electronic Journals,,,,,,,no
Libraries,Library Resources,all,http://lib.washington.edu/types,UW Libraries: Start Your Research,,,,,,,no
Libraries,Library Resources,all,http://offcampus.lib.washington.edu/login?url=http://ncbi.nlm.nih.gov/pubmed?myncbishare=uwonline,PubMed,,,,,,,no
Libraries,Library Resources,all,http://hsl.uw.edu/toolkits/care-provider,Care Provider Toolkit,,,,,,,no
Libraries,Library Resources,all,http://hsl.uw.edu,Health Sciences Library,,,,,,,no
Student Finances,Tuition and Financial Aid,all,http://finance.uw.edu/sfs/home,Student Fiscal Services,,,,,,,no
Student Finances,Tuition and Financial Aid,all,,,http://www.washington.edu/students/osfa/,Financial Aid and Scholarships,http://www.bothell.washington.edu/financialaid,Financial Aid and Scholarships,http://www.tacoma.uw.edu/uwt/financial-aid,Financial Aid and Scholarships,no
Student Finances,Tuition and Financial Aid,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/finaidstatus.aspx,Financial Aid Status,,,,,,,no
Student Finances,Tuition and Financial Aid,all,http://www.lib.washington.edu/commons/services/gfis,Graduate Funding Information Service (GFIS),,,,,,,no
Student Finances,Taxes,all,https://sdb.admin.uw.edu/sisStudents/uwnetid/irs1098t.aspx,Form 1098-T,,,,,,,no
Student Finances,Taxes,all,http://f2.washington.edu/fm/sfs/tax,Student Tax Information,,,,,,,no
Student Finances,Tuition and Financial Aid,all,http://f2.washington.edu/fm/sfs/tuition,Tuition Overview,,,,,,,no
Teaching,Course Evaluation,all,http:washington.edu/cec,Course Evaluation Catalog,,,,,,,no
Teaching,Course Evaluation,all,,,http://uw.iasystem.org/faculty,My Course Evaluations,https://uwb.iasystem.org/faculty,My Course Evaluations,https://uwt.iasystem.org/faculty,My Course Evaluations,no
Teaching,Course Evaluation,all,,,http://www.washington.edu/assessment/course-evaluations/,Course Evaluations,http://www.washington.edu/assessment/course-evaluations/,Course Evaluations,http://www.tacoma.uw.edu/teaching-learning-technology/iasystem-course-evaluations,Course Evaluations,no
Teaching,Course Materials,all,http://www.ubookstore.com/faculty,Order Textbooks,,,,,,,no
Teaching,Course Materials,all,http://finance.uw.edu/c2/printing-copying/course-packs,Request Course Packs,,,,,,,no
Teaching,Course Materials,all,http://lib.washington.edu/types/course/instructors/request,Request Course Reserves,,,,,,,no
Teaching,Grading,all,http://gradepage.uw.edu,GradePage,,,,,,,no
Teaching,Grading,all,https://apps.registrar.washington.edu/grade-change/pages/change.php,Change Submitted Grades,,,,,,,no
Teaching,Grading,all,,,http://depts.washington.edu/grading,Faculty Resource on Grading,https://www.uwb.edu/registration/policies/grading,Grading Policies,http://www.tacoma.uw.edu/node/37545,Grading Policy,no
Teaching,Tools,all,http://canvas.uw.edu,Canvas LMS,,,,,,,no
Teaching,Tools,all,https://catalyst.uw.edu/,Catalyst Web Tools,,,,,,,no
Teaching,Tools,all,http://panopto.uw.edu,Panopto Lecture Capture,,,,,,,no
Teaching,Tools,all,https://itconnect.uw.edu/learn/tools/polleverywhere/,Poll Everywhere,,,,,,,no
Teaching,Tools,all,https://coda.uw.edu,Course stats,,,,,,,no
Teaching,Tools,all,https://washington.zoom.us,Zoom,,,,,,,no
