Physics / Astronomy Auditorium (PAA),http://www.washington.edu/maps/?PAA,"47.652991135758,-122.31110674603"
Physics / Astronomy Building (PAB),http://www.washington.edu/maps/?PAB,"47.653644681181,-122.311302"
Physics / Astronomy Building (PAT),http://www.washington.edu/maps/?PAT,"47.6533375458,-122.31182091534"
Plant Lab Annex 2 (PL2),http://www.washington.edu/maps/?PL2,"47.651840818499,-122.30929518651"
Plant Laboratory (PLT),http://www.washington.edu/maps/?PLT,"47.652076,-122.30959337302"
Plant Operations Annex 2 (PO2),http://www.washington.edu/maps/?PO2,"47.654409730522,-122.30325572884"
Plant Operations Annex 3 (PO3),http://www.washington.edu/maps/?PO3,"47.654667,-122.30329537302"
Plant Operations Annex 4 (PO4),http://www.washington.edu/maps/?PO4,"47.654701092358,-122.30359718651"
Plant Operations Annex 5 (PO5),http://www.washington.edu/maps/?PO5,"47.654890092463,-122.303229"
Plant Operations Annex 6 (PO6),http://www.washington.edu/maps/?PO6,"47.654420546099,-122.30351593254"
Plant Operations Building (POB),http://www.washington.edu/maps/?POB,"47.654189134929,-122.30388055952"
Plant Services Building (PSB),http://www.washington.edu/maps/?PSB,"47.66201864462,-122.30156772884"
Poplar Hall & Arts Ticket Office (UTO),http://www.washington.edu/maps/?UTO,"47.656528441079,-122.31413354367"
Portage Bay Building (PBB),http://www.washington.edu/maps/?PBB,"47.648795594133,-122.30947181349"
Power Plant (PWR),http://www.washington.edu/maps/?PWR,"47.653679178853,-122.30370254233"
Publications Services Building (PSV),http://www.washington.edu/maps/?PSV,"47.655263092669,-122.32029444048"
Purchasing And Accounting Building (PCH),http://www.washington.edu/maps/?PCH,"47.654380319134,-122.31366445767"
Rainier Vista (LNDMK-3),http://www.washington.edu/maps/?LNDMK-3,"47.655224,-122.30871"
Raitt Hall (RAI),http://www.washington.edu/maps/?RAI,"47.657875641179,-122.30726272884"
Roberts Annex (RAX),http://www.washington.edu/maps/?RAX,"47.652143,-122.30435164418"
Roberts Hall (ROB),http://www.washington.edu/maps/?ROB,"47.652035,-122.30510018651"
Roosevelt Commons (RVC),http://www.washington.edu/maps/?RVC,"47.660371321621,-122.31689554233"
Samuel E. Kelly Ethnic Cultural Center (ECC1),http://www.washington.edu/maps/?ECC1,"47.655071722406,-122.31476635582"
Savery Hall (SAV),http://www.washington.edu/maps/?SAV,"47.657106320266,-122.308357"
Schmitz Hall (SMZ),http://www.washington.edu/maps/?SMZ,"47.656558546691,-122.31272164418"
Shellhouse Annex 1 (SHA),http://www.washington.edu/maps/?SHA,"47.652542,-122.299265"
Sieg Building (SIG),http://www.washington.edu/maps/?SIG,"47.654881773113,-122.30655410185"
Smith Hall (SMI),http://www.washington.edu/maps/?SMI,"47.656645546715,-122.30718991534"
